index	level before	level after	step	dwell before	dwell after	predicted error	measured error
3.0	118.75	88.0	-30.75	4.0	5.0	10.489025951172508	17.619812081227703
8.0	88.0	107.0	19.0	5.0	6.0	9.46813885050541	9.671837697379152
14.0	107.0	87.4	-19.599999999999994	6.0	5.0	9.46813885050541	6.96773516526951
19.0	87.4	108.0	20.599999999999994	5.0	2.0	13.08211381008939	21.156559266572625
21.0	108.0	103.0	-5.0	2.0	7.0	12.53678390089228	3.5685702847990846
28.0	103.0	88.0	-15.0	7.0	2.0	12.53678390089228	3.585685828003181
30.0	88.0	68.0	-20.0	2.0	2.0	15.636116696387411	11.999999999999998
32.0	68.0	121.33333333333333	53.33333333333333	2.0	6.0	12.766835821587252	7.2699279124247065
38.0	121.33333333333333	106.33333333333333	-15.0	6.0	3.0	11.056404147439736	8.807908903891958
41.0	106.33333333333333	87.0	-19.33333333333333	3.0	3.0	12.766835821587252	8.093207028119323
44.0	87.0	100.90084464926645	13.900844649266446	3.0	6.0	11.056404147439736	7.436770505774367
50.0	100.90084464926645	124.72437406103116	23.82352941176471	6.0	8.0	8.444468153277713	8.120909226599363
58.0	124.72437406103116	78.61326294992004	-46.111111111111114	8.0	9.0	7.597787023235201	8.202504566090928
67.0	78.61326294992004	31.27992961658672	-47.33333333333332	9.0	9.0	7.370936098293156	6.902015445894301
76.0	31.27992961658672	11.332097638266935	-19.947831978319783	9.0	463.0	5.26245205510982	2.6011469984880793
539.0	11.332097638266935	15.379111234294161	4.0470135960272255	463.0	29.0	2.993105051823827	1.2488274085937976
568.0	15.379111234294161	64.10472099039173	48.72560975609757	29.0	3.0	9.482967581362178	3.2749405917959074
571.0	64.10472099039173	110.0	45.895279009608274	3.0	4.0	11.942281389393024	5.200160253940898
575.0	110.0	132.0	22.0	4.0	2.0	13.54127427560951	17.988422202442695
577.0	132.0	134.0	2.0	2.0	3.0	14.273756377324236	6.1584028713560075
580.0	134.0	86.33333333333333	-47.66666666666667	3.0	3.0	12.766835821587252	12.226261958647928
583.0	86.33333333333333	101.0	14.666666666666671	3.0	2.0	14.273756377324236	23.667840346484223
585.0	101.0	104.5	3.5	2.0	2.0	15.636116696387411	18.5
587.0	104.5	117.0	12.5	2.0	2.0	15.636116696387411	8.0
589.0	117.0	91.5	-25.5	2.0	2.0	15.636116696387411	15.499999999999998
591.0	91.5	59.0	-32.5	2.0	2.0	15.636116696387411	18.0
593.0	59.0	124.2	65.2	2.0	5.0	13.08211381008939	8.41332276808634
598.0	124.2	97.0	-27.200000000000003	5.0	3.0	11.419005101859389	29.62937731374049
601.0	97.0	136.7177489177489	39.71774891774891	3.0	3.0	12.766835821587252	36.311665302448425
604.0	136.7177489177489	86.42337662337661	-50.294372294372295	3.0	2.0	14.273756377324236	9.322910847297997
606.0	86.42337662337661	21.0	-65.42337662337661	2.0	3.0	14.273756377324236	1.1547005383792517
609.0	21.0	70.0	49.0	3.0	2.0	14.273756377324236	13.057564857200594
611.0	70.0	139.5	69.5	2.0	2.0	15.636116696387411	4.5
613.0	139.5	35.5	-104.0	2.0	2.0	15.636116696387411	17.5
615.0	35.5	21.5	-14.0	2.0	3.0	14.273756377324236	13.700500126042977
618.0	21.5	154.0	132.5	3.0	2.0	14.273756377324236	13.555441711725958
620.0	154.0	12.091492952727661	-141.90850704727234	2.0	44.0	11.304893693853076	1.775288201066091
664.0	12.091492952727661	135.9537924179683	123.86229946524062	44.0	17.0	4.465221648049613	6.55027195796514
681.0	135.9537924179683	56.85967477090948	-79.09411764705881	17.0	5.0	7.954827759104747	19.050671884862904
686.0	56.85967477090948	120.9010540812543	64.04137931034482	5.0	24.0	7.686653050877817	20.583097164637028
710.0	120.9010540812543	149.5	28.5989459187457	24.0	2.0	11.507870295040814	8.81793548044927
712.0	149.5	92.0	-57.5	2.0	3.0	14.273756377324236	23.938192016880407
715.0	92.0	82.0	-10.0	3.0	6.0	11.056404147439736	6.847546194724712
721.0	82.0	93.0	11.0	6.0	7.0	8.699132263047284	5.890612848243479
728.0	93.0	109.25	16.25	7.0	4.0	9.800454797707635	5.068821988313098
732.0	109.25	94.5	-14.75	4.0	2.0	13.54127427560951	5.439056290693573
734.0	94.5	121.0	26.5	2.0	2.0	15.636116696387411	15.0
736.0	121.0	118.5	-2.5	2.0	2.0	15.636116696387411	6.499999999999999
738.0	118.5	91.33333333333333	-27.16666666666667	2.0	3.0	14.273756377324236	6.677768533918543
741.0	91.33333333333333	126.5	35.16666666666667	3.0	3.0	12.766835821587252	11.732354757172496
744.0	126.5	16.875	-109.625	3.0	9.0	10.424077797591607	7.732629100899081
753.0	16.875	99.85070797934365	82.97570797934365	9.0	5.0	8.72140920672626	6.616769520611164
758.0	99.85070797934365	123.0	23.149292020656347	5.0	5.0	9.889148504154342	9.923457058908454
763.0	123.0	96.66666666666667	-26.33333333333333	5.0	4.0	10.489025951172508	16.33630925270454
767.0	96.66666666666667	87.0	-9.666666666666671	4.0	3.0	11.942281389393024	9.645570850760311
770.0	87.0	99.9	12.900000000000006	3.0	10.0	10.29295210238473	8.843340243746514
780.0	99.9	122.5	22.599999999999994	10.0	2.0	12.111683912892833	9.533728300546537
782.0	122.5	148.0	25.5	2.0	2.0	15.636116696387411	0.5
784.0	148.0	96.66666666666667	-51.33333333333333	2.0	4.0	13.54127427560951	7.2886898685566255
788.0	96.66666666666667	48.5	-48.16666666666667	4.0	2.0	13.54127427560951	11.677376037068905
790.0	48.5	122.5	74.0	2.0	2.0	15.636116696387411	4.5
